"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","CP040000","CPI: 04 - Housing, water, electricity, gas and other fuels","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",107.4729,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1949","1949","IDX","Index","0","Units","2015_100","2015=100",3.738101,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1950","1950","IDX","Index","0","Units","2015_100","2015=100",4.063153,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1951","1951","IDX","Index","0","Units","2015_100","2015=100",4.852566,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1952","1952","IDX","Index","0","Units","2015_100","2015=100",5.688414,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1953","1953","IDX","Index","0","Units","2015_100","2015=100",5.943812,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1954","1954","IDX","Index","0","Units","2015_100","2015=100",6.036685,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1955","1955","IDX","Index","0","Units","2015_100","2015=100",6.129557,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1956","1956","IDX","Index","0","Units","2015_100","2015=100",6.477827,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1957","1957","IDX","Index","0","Units","2015_100","2015=100",6.663571,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1958","1958","IDX","Index","0","Units","2015_100","2015=100",6.710007,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1959","1959","IDX","Index","0","Units","2015_100","2015=100",6.849315,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1960","1960","IDX","Index","0","Units","2015_100","2015=100",7.104713,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1961","1961","IDX","Index","0","Units","2015_100","2015=100",7.26724,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1962","1962","IDX","Index","0","Units","2015_100","2015=100",7.244021,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1963","1963","IDX","Index","0","Units","2015_100","2015=100",7.290457,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1964","1964","IDX","Index","0","Units","2015_100","2015=100",7.49942,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1965","1965","IDX","Index","0","Units","2015_100","2015=100",7.754818,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1966","1966","IDX","Index","0","Units","2015_100","2015=100",8.010216,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1967","1967","IDX","Index","0","Units","2015_100","2015=100",8.288832,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1968","1968","IDX","Index","0","Units","2015_100","2015=100",8.497794,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1969","1969","IDX","Index","0","Units","2015_100","2015=100",8.77641,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1970","1970","IDX","Index","0","Units","2015_100","2015=100",9.078245,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1971","1971","IDX","Index","0","Units","2015_100","2015=100",9.635477,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1972","1972","IDX","Index","0","Units","2015_100","2015=100",10.21593,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1973","1973","IDX","Index","0","Units","2015_100","2015=100",11.14465,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1974","1974","IDX","Index","0","Units","2015_100","2015=100",12.86278,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1975","1975","IDX","Index","0","Units","2015_100","2015=100",14.8131,,
"AUS","Australia","CPALTT01","CPI: 01-12 - All items","IXOB","Index","A","Annual","1976","1976","IDX","Index","0","Units","2015_100","2015=100",16.78663,,
