"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1996","1996","PC","Percentage","0","Units",,,7.151667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1997","1997","PC","Percentage","0","Units",,,5.395833,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1998","1998","PC","Percentage","0","Units",,,5.001667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","1999","1999","PC","Percentage","0","Units",,,5.011667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2000","2000","PC","Percentage","0","Units",,,6.1775,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2001","2001","PC","Percentage","0","Units",,,4.899167,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2002","2002","PC","Percentage","0","Units",,,4.746666,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2003","2003","PC","Percentage","0","Units",,,4.895833,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2004","2004","PC","Percentage","0","Units",,,5.478333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2005","2005","PC","Percentage","0","Units",,,5.644166,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2006","2006","PC","Percentage","0","Units",,,5.988333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2007","2007","PC","Percentage","0","Units",,,6.6675,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.973333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2009","2009","PC","Percentage","0","Units",,,3.434167,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2010","2010","PC","Percentage","0","Units",,,4.683333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.848333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2012","2012","PC","Percentage","0","Units",,,3.728333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2013","2013","PC","Percentage","0","Units",,,2.78,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2014","2014","PC","Percentage","0","Units",,,2.678333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2015","2015","PC","Percentage","0","Units",,,2.255833,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2016","2016","PC","Percentage","0","Units",,,1.988333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2017","2017","PC","Percentage","0","Units",,,1.74,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2018","2018","PC","Percentage","0","Units",,,1.948333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2019","2019","PC","Percentage","0","Units",,,1.344167,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","A","Annual","2020","2020","PC","Percentage","0","Units",,,0.2566667,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1990","1990","PC","Percentage","0","Units",,,12.58,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1991","1991","PC","Percentage","0","Units",,,8.5,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1992","1992","PC","Percentage","0","Units",,,5.75,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1993","1993","PC","Percentage","0","Units",,,4.75,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1994","1994","PC","Percentage","0","Units",,,7.05,,
"IRSTCI","Immediate interest rates, Call Money, Interbank Rate, Per cent per annum","AUS","Australia","A","Annual","1995","1995","PC","Percentage","0","Units",,,7.5,,
